Month,South,West,Midwest,Northeast,South Atlantic,Mountain,East North Central,New England,East South Central,Pacific,West North Central,Middle Atlantic,West South Central
19-May,1.40%,2.90%,1.30%,1.50%,1.90%,2.50%,1.30%,1.90%,0.30%,3.10%,1.40%,1.30%,1.00%
19-Jun,1.10%,2.70%,1.20%,1.60%,1.60%,2.50%,1.20%,1.90%,0.30%,2.80%,1.30%,1.40%,0.70%
19-Jul,1.40%,2.70%,1.50%,1.70%,1.90%,2.60%,1.60%,1.80%,0.50%,2.70%,1.20%,1.70%,1.00%
19-Aug,1.40%,2.60%,1.50%,1.50%,1.80%,2.90%,1.70%,2.00%,0.60%,2.50%,1.10%,1.40%,0.90%
19-Sep,1.30%,2.60%,1.40%,1.40%,1.70%,2.90%,1.60%,1.80%,0.50%,2.50%,1.10%,1.30%,1.00%
19-Oct,1.30%,2.80%,1.50%,1.50%,1.80%,3.20%,1.80%,1.60%,0.20%,2.60%,0.90%,1.40%,1.00%
19-Nov,1.60%,2.80%,1.90%,1.90%,2.00%,3.20%,2.00%,2.20%,0.70%,2.70%,1.80%,1.90%,1.30%
19-Dec,2.10%,2.80%,2.30%,1.90%,2.50%,3.30%,2.40%,2.10%,1.50%,2.60%,2.10%,1.90%,1.80%
20-Jan,2.30%,2.90%,2.50%,2.30%,2.60%,3.80%,2.60%,2.20%,1.60%,2.60%,2.20%,2.40%,1.90%
20-Feb,1.90%,3.10%,2.10%,2.40%,2.20%,4.00%,2.00%,2.50%,1.00%,2.80%,2.30%,2.30%,1.60%
20-Mar,1.10%,2.50%,1.00%,1.70%,1.30%,3.20%,1.00%,1.50%,0.40%,2.20%,1.00%,1.80%,0.90%
20-Apr,-0.20%,1.30%,-0.40%,0.80%,0.20%,2.10%,-0.50%,0.70%,-0.60%,0.90%,-0.30%,0.90%,-0.80%
20-May,-0.40%,0.80%,-0.40%,0.60%,0.00%,1.30%,-0.30%,-0.10%,-0.70%,0.60%,-0.50%,0.90%,-1.00%
20-Jun,0.30%,1.20%,0.40%,0.80%,0.80%,2.00%,0.50%,0.40%,-0.10%,0.90%,0.20%,0.90%,-0.40%
20-Jul,0.60%,1.70%,0.70%,1.10%,0.90%,2.40%,0.80%,0.50%,0.60%,1.40%,0.50%,1.30%,0.00%
20-Aug,1.10%,1.90%,1.10%,1.10%,1.50%,2.10%,1.20%,0.70%,1.00%,1.80%,0.90%,1.30%,0.40%
20-Sep,1.30%,1.60%,1.30%,1.20%,1.80%,1.80%,1.20%,0.60%,1.20%,1.50%,1.40%,1.50%,0.60%
20-Oct,1.30%,1.20%,1.00%,1.10%,1.70%,1.30%,0.90%,0.20%,1.30%,1.20%,1.30%,1.40%,0.40%
20-Nov,1.20%,1.40%,1.00%,1.10%,1.60%,1.30%,0.80%,0.40%,1.20%,1.40%,1.50%,1.30%,0.40%
20-Dec,1.40%,1.50%,1.10%,1.40%,1.60%,1.00%,0.80%,0.80%,1.70%,1.60%,1.80%,1.60%,0.80%
21-Jan,1.60%,1.40%,1.20%,1.10%,1.80%,1.20%,0.90%,0.60%,2.20%,1.50%,2.00%,1.30%,1.00%
21-Feb,2.00%,1.60%,1.70%,1.20%,2.10%,1.50%,1.60%,0.70%,2.90%,1.60%,1.90%,1.40%,1.50%
21-Mar,2.90%,2.40%,3.00%,2.10%,2.90%,2.50%,2.80%,1.80%,4.00%,2.40%,3.20%,2.20%,2.40%
21-Apr,4.40%,3.90%,4.90%,3.30%,4.20%,4.20%,4.90%,2.70%,5.70%,3.80%,5.00%,3.50%,4.30%
21-May,5.60%,4.70%,5.60%,3.90%,5.20%,5.20%,5.50%,3.60%,7.00%,4.50%,5.90%,4.00%,5.50%
21-Jun,5.80%,5.10%,5.80%,4.60%,5.60%,5.10%,5.50%,4.00%,7.30%,5.20%,6.20%,4.80%,5.80%
21-Jul,5.80%,5.20%,5.90%,4.30%,5.60%,5.60%,5.60%,4.20%,6.70%,5.00%,6.60%,4.40%,5.70%
21-Aug,5.60%,5.00%,5.70%,4.40%,5.40%,5.70%,5.30%,4.10%,6.40%,4.80%,6.70%,4.50%,5.70%
21-Sep,5.80%,5.30%,5.70%,4.60%,5.60%,6.00%,5.40%,4.10%,6.60%,5.00%,6.50%,4.70%,5.70%
21-Oct,6.60%,6.00%,6.60%,5.40%,6.50%,7.00%,6.30%,5.60%,7.20%,5.60%,7.30%,5.40%,6.60%
21-Nov,7.20%,6.50%,7.30%,6.00%,7.00%,7.70%,7.20%,6.10%,7.80%,6.10%,7.60%,5.90%,7.40%
21-Dec,7.40%,7.10%,7.50%,5.90%,7.50%,8.60%,7.50%,6.20%,7.10%,6.50%,7.70%,5.80%,7.40%
22-Jan,7.80%,7.70%,7.90%,6.30%,7.90%,9.00%,7.90%,6.60%,6.90%,7.30%,7.90%,6.10%,7.80%
22-Feb,8.40%,8.10%,8.00%,6.60%,8.60%,9.70%,7.90%,6.90%,7.40%,7.40%,8.20%,6.40%,8.50%
22-Mar,9.10%,8.70%,8.60%,7.30%,9.20%,10.40%,8.50%,7.40%,7.90%,8.10%,8.60%,7.20%,9.50%
22-Apr,8.80%,8.30%,8.20%,7.20%,8.80%,9.80%,8.10%,7.00%,7.80%,7.80%,8.50%,7.20%,9.30%
22-May,9.20%,8.30%,8.80%,7.50%,9.20%,9.40%,8.80%,7.90%,7.70%,8.00%,8.80%,7.30%,9.90%
22-Jun,9.80%,8.80%,9.50%,7.60%,9.80%,9.90%,9.80%,7.90%,8.40%,8.30%,8.80%,7.50%,10.60%
